# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	17193
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=3 d=1.17085 t=17193
shou 	受	c=1 d=0.985112 t=17193
shou 	手	c=0 d=0.0960789 t=17193
shou 	收	c=3 d=2.11653 t=17193
shou bu liao 	受不了	c=1 d=0.970446 t=17193
shou ce 	手册	c=3 d=1.98819 t=17193
shou dian 	收点	c=1 d=0.995012 t=17193
shou dong 	手动	c=5 d=3.21978 t=17193
shou duan 	手段	c=0 d=0.0810584 t=17193
shou duan le 	手段了	c=1 d=0.814647 t=17193
shou ge zhe 	收割者	c=1 d=0.802519 t=17193
shou heng 	守恒	c=1 d=0.918512 t=17193
shou huo 	收获	c=0 d=0.0985112 t=17193
shou huo yi ge 	收获一个	c=1 d=0.99005 t=17193
shou ji 	手机	c=4 d=2.77571 t=17193
shou ji fu she 	受激辐射	c=3 d=1.96062 t=17193
shou le 	收了	c=1 d=0.993057 t=17193
shou lian 	收敛	c=3 d=1.8664 t=17193
shou ming 	寿命	c=2 d=1.62149 t=17193
shou qian 	收钱	c=1 d=0.946485 t=17193
shou qu 	收取	c=1 d=0.767206 t=17193
shou shu 	收束	c=1 d=0.913931 t=17193
shou wan 	受完	c=1 d=0.852144 t=17193
shou wang 	守望	c=1 d=0.995012 t=17193
shou wang xian feng 	守望先锋	c=22 d=19.2124 t=17193
shou xian 	首先	c=0 d=0.0442639 t=17193
shou ye 	首页	c=1 d=0.694197 t=17193
shou zhe 	守着	c=1 d=0.88692 t=17193
shou zhi 	首支	c=1 d=0.852144 t=17193
shu 	书	c=10 d=4.94779 t=17193
shu 	数	c=5 d=3.21725 t=17193
shu 	树	c=1 d=0.995012 t=17193
shu 	输	c=1 d=0.985112 t=17193
shu ben 	书本	c=1 d=0.810584 t=17193
shu biao 	鼠标	c=9 d=5.10956 t=17193
shu biao cao zuo 	鼠标操作	c=1 d=0.955997 t=17193
shu chu 	输出	c=6 d=3.27907 t=17193
shu chu gong lv 	输出功率	c=1 d=0.66034 t=17193
shu dan 	书单	c=2 d=1.87416 t=17193
shu du 	数独	c=1 d=0.960789 t=17193
shu er 	数二	c=1 d=0.909373 t=17193
shu fu 	束缚	c=1 d=1 t=17193
shu ji 	书籍	c=2 d=1.84715 t=17193
shu ji 	数集	c=1 d=0.625002 t=17193
shu ju 	数据	c=9 d=4.44018 t=17193
shu ju ji 	数据集	c=1 d=0.718924 t=17193
shu ju ku 	数据库	c=2 d=1.68836 t=17193
shu ju lei xing 	数据类型	c=1 d=0.484325 t=17193
shu li 	数理	c=3 d=1.76356 t=17193
shu li 	梳理	c=2 d=1.49618 t=17193
shu lian 	熟练	c=4 d=1.69666 t=17193
shu ru 	输入	c=13 d=6.27333 t=17193
shu ru fa 	输入法	c=2 d=1.25754 t=17193
shu ru kuang 	输入框	c=1 d=0.891366 t=17193
shu shang de 	书上的	c=2 d=1.71497 t=17193
shu shi 	舒适	c=1 d=0.960789 t=17193
shu shu 	叔叔	c=0 d=0.0980199 t=17193
shu shu 	鼠鼠	c=1 d=0.737123 t=17193
shu shu de 	叔叔的	c=1 d=0.985112 t=17193
shu xi 	熟悉	c=1 d=0.329559 t=17193
shu xian 	竖线	c=2 d=1.80074 t=17193
shu xing 	属性	c=1 d=0.621885 t=17193
shu xue 	数学	c=28 d=7.16536 t=17193
shu xue jing sai 	数学竞赛	c=1 d=0.348192 t=17193
shu xue ke 	数学课	c=1 d=0.187308 t=17193
shu xue shang 	数学上	c=1 d=0.965605 t=17193
shu xue shou ce 	数学手册	c=1 d=0.88692 t=17193
shu yi 	数一	c=6 d=4.17275 t=17193
shu zhi 	数值	c=13 d=4.40614 t=17193
shu zhuang 	树状	c=1 d=0.882497 t=17193
shu zi 	数字	c=3 d=2.09683 t=17193
shu zi jian 	数字键	c=1 d=0.869358 t=17193
shua 	刷	c=1 d=0.831104 t=17193
shua ru 	刷入	c=1 d=0.847894 t=17193
shua shang 	刷上	c=1 d=1 t=17193
shua ti 	刷题	c=5 d=4.33038 t=17193
shua xin 	刷新	c=2 d=1.76222 t=17193
shuai 	帅	c=1 d=0.995012 t=17193
shuang 	双	c=2 d=1.8961 t=17193
shuang 	爽	c=3 d=2.77245 t=17193
shuang dao 	爽到	c=1 d=0.873716 t=17193
shuang fei 	双非	c=1 d=1 t=17193
shuang jian tou 	双箭头	c=1 d=0.951229 t=17193
shuang xi tong 	双系统	c=1 d=0.97531 t=17193
shuang xian ka 	双显卡	c=3 d=2.54256 t=17193
shui 	睡	c=2 d=1.87497 t=17193
shui guan 	水管	c=0 d=0.0985112 t=17193
shui jiao 	睡觉	c=1 d=0.951229 t=17193
shui mian 	睡眠	c=2 d=1.81078 t=17193
shui mian mo shi 	睡眠模式	c=2 d=1.97531 t=17193
shui ping 	水平	c=1 d=0.472367 t=17193
shui shang piao 	水上漂	c=1 d=0.99005 t=17193
shui si 	睡死	c=1 d=0.99005 t=17193
shui yi jiao 	睡一觉	c=1 d=0.960789 t=17193
shui zhi 	水质	c=2 d=1.54588 t=17193
shui zhi 	谁知	c=0 d=0.0767206 t=17193
shui zhi bao chi 	谁知保持	c=1 d=0.771052 t=17193
shui zu guan 	水族馆	c=1 d=1 t=17193
shun li 	顺利	c=1 d=0.970446 t=17193
shun shou 	顺手	c=1 d=0.634448 t=17193
shun xu 	顺序	c=1 d=0.882497 t=17193
shuo 	说	c=14 d=3.5482 t=17193
shuo chu 	说出	c=1 d=0.995012 t=17193
shuo cuo le 	说错了	c=1 d=0.927743 t=17193
shuo fa 	说法	c=1 d=0.946485 t=17193
shuo guo 	说过	c=2 d=0.844309 t=17193
shuo le 	说了	c=2 d=1.72599 t=17193
shuo ming 	说明	c=2 d=1.59355 t=17193
shuo shen me 	说什么	c=1 d=0.869358 t=17193
shuo shi 	说是	c=1 d=0.900325 t=17193
shuo shi hua 	说实话	c=1 d=0.718924 t=17193
shuo shu 	说书	c=1 d=0.680451 t=17193
shuo yi xia 	说一下	c=1 d=1 t=17193
shuo zhong wen 	说中文	c=1 d=1 t=17193
si 	四	c=1 d=0.779207 t=17193
si chun 	思春	c=1 d=1 t=17193
si fang cai 	私房菜	c=1 d=1 t=17193
si ge yue 	四个月	c=1 d=0.923116 t=17193
si hu 	似乎	c=2 d=1.73429 t=17193
si kao 	思考	c=3 d=1.30603 t=17193
si kao ti 	思考题	c=3 d=2.70194 t=17193
si lu 	思路	c=2 d=0.998689 t=17193
si shang 	四上	c=1 d=0.831104 t=17193
si shen 	死神	c=1 d=0.997366 t=17193
si shen de 	死神的	c=2 d=1.94111 t=17193
si xiang 	思想	c=4 d=2.80113 t=17193
si xiang nei he 	思想内核	c=1 d=0.474734 t=17193
si yuan hei ti 	思源黑体	c=1 d=0.97531 t=17193
si yuan shu 	四元数	c=4 d=3.61356 t=17193
si zheng 	思政	c=1 d=0.451581 t=17193
si zhong 	四种	c=1 d=0.594521 t=17193
song 	颂	c=1 d=0.778801 t=17193
song hua 	送花	c=1 d=0.927743 t=17193
sou 	搜	c=2 d=1.60651 t=17193
sou suo 	搜索	c=19 d=10.3341 t=17193
sou ti 	搜题	c=1 d=0.97531 t=17193
su cha 	速查	c=1 d=0.637628 t=17193
su du 	速度	c=12 d=3.10305 t=17193
su lv 	速率	c=3 d=1.37735 t=17193
su she 	宿舍	c=1 d=0.814647 t=17193
su shuo 	诉说	c=1 d=0.856415 t=17193
su zhou ping tan 	苏州评弹	c=1 d=0.640824 t=17193
suan 	算	c=3 d=1.55949 t=17193
suan chu lai 	算出来	c=1 d=0.932394 t=17193
suan de 	算的	c=1 d=0.818731 t=17193
suan fa 	算法	c=4 d=1.77272 t=17193
suan le 	算了	c=2 d=1.89299 t=17193
suan qi lai 	算起来	c=1 d=0.392586 t=17193
suan shi 	算是	c=1 d=0.321422 t=17193
suan zi 	算子	c=1 d=1 t=17193
sui 	遂	c=1 d=0.995012 t=17193
sui 	随	c=1 d=0.759572 t=17193
sui bian 	随便	c=1 d=0.722527 t=17193
sui ran 	虽然	c=5 d=2.05135 t=17193
sui sui 	碎碎	c=1 d=0.995012 t=17193
sui zhe 	随着	c=1 d=0.744532 t=17193
sun hao 	损耗	c=1 d=0.843665 t=17193
sun long 	隼龙	c=3 d=2.90786 t=17193
suo 	所	c=4 d=1.86864 t=17193
suo 	锁	c=2 d=1.36291 t=17193
suo duan 	缩短	c=1 d=0.985112 t=17193
suo fang 	缩放	c=23 d=13.2149 t=17193
suo ping 	锁屏	c=1 d=0.932394 t=17193
suo wei 	所谓	c=1 d=0.99005 t=17193
suo xiao 	缩小	c=1 d=0.88692 t=17193
suo yi 	所以	c=14 d=3.71925 t=17193
suo you 	所有	c=5 d=2.49057 t=17193
suo you ruan jian 	所有软件	c=1 d=0.856415 t=17193
suo zhao 	缩招	c=1 d=0.752014 t=17193
suo zuo 	所做	c=1 d=0.810584 t=17193
ta 	他	c=8 d=3.91356 t=17193
ta 	她	c=9 d=4.47435 t=17193
ta 	它	c=18 d=6.25039 t=17193
ta men 	他们	c=6 d=3.73942 t=17193
ta men 	它们	c=3 d=2.85003 t=17193
ta ren 	他人	c=1 d=0.831104 t=17193
tai 	太	c=10 d=4.17698 t=17193
tai bu shi ren 	太不是人	c=0 d=0.099005 t=17193
tai bu shi ren le 	太不是人了	c=1 d=0.995012 t=17193
tai chang bu kan 	太长不看	c=1 d=0.965605 t=17193
tai chun le 	太蠢了	c=1 d=1 t=17193
tai duo 	太多	c=0 d=0.0786628 t=17193
tai duo de 	太多的	c=1 d=0.790571 t=17193
tai duo le 	太多了	c=2 d=1.81374 t=17193
tai gao 	太高	c=1 d=0.65377 t=17193
tai hao le 	太好了	c=1 d=0.891366 t=17193
tai he zi 	太赫兹	c=6 d=3.79904 t=17193
tai hu 	太湖	c=2 d=1.20158 t=17193
tai hui 	太会	c=0 d=0.0913931 t=17193
tai hui le 	太会了	c=1 d=0.918512 t=17193
tai kong zhan 	太空站	c=1 d=0.524663 t=17193
tai ku le 	太酷了	c=1 d=0.923116 t=17193
tai kuai 	太快	c=1 d=1 t=17193
tai le 	泰勒	c=1 d=0.666977 t=17193
tai le zhan kai 	泰勒展开	c=2 d=1.48193 t=17193
tai luan 	太乱	c=1 d=0.960789 t=17193
tai nan le 	太难了	c=2 d=1.60357 t=17193
tai shao 	太少	c=1 d=0.644036 t=17193
tai shi ji 	台式机	c=1 d=0.946485 t=17193
tai xiao le 	太小了	c=1 d=0.980199 t=17193
tai yang 	太阳	c=1 d=0.344728 t=17193
tai you 	太有	c=1 d=0.774916 t=17193
tai za le 	太杂了	c=1 d=0.865022 t=17193
tai zao le 	太糟了	c=1 d=0.694197 t=17193
tai zhan 	太占	c=1 d=0.744532 t=17193
tan 	弹	c=4 d=3.14653 t=17193
tan chu 	弹出	c=0 d=0.180337 t=17193
tan chu de 	弹出的	c=1 d=0.980199 t=17193
tan chu ge 	弹出个	c=1 d=0.955997 t=17193
tan huang 	弹簧	c=22 d=8.09041 t=17193
tan huang yun dong 	弹簧运动	c=1 d=0.927743 t=17193
tan huang zi you 	弹簧自由	c=1 d=0.690734 t=17193
tan li 	弹力	c=5 d=2.19182 t=17193
tan pu hui 	碳普惠	c=1 d=0.856415 t=17193
tan qi 	谈起	c=1 d=0.895834 t=17193
tan suo 	探索	c=2 d=1.50158 t=17193
tan tou 	探头	c=1 d=0.786628 t=17193
tan yuan 	探员	c=1 d=0.826959 t=17193
tang 	趟	c=1 d=0.955997 t=17193
tao 	套	c=3 d=2.26863 t=17193
tao bao 	淘宝	c=1 d=0.798516 t=17193
tao li 	桃李	c=2 d=1.55956 t=17193
tao yan 	讨厌	c=1 d=0.839457 t=17193
te bie 	特别	c=2 d=1.42002 t=17193
te bie shi 	特别是	c=1 d=0.261846 t=17193
te chang 	特长	c=1 d=0.250324 t=17193
te dian shi 	特点是	c=1 d=0.891366 t=17193
te ding 	特定	c=5 d=3.81035 t=17193
te jie 	特解	c=1 d=0.97531 t=17193
te lai 	特来	c=1 d=0.99005 t=17193
te se 	特色	c=4 d=2.00789 t=17193
te shu 	特殊	c=3 d=1.97087 t=17193
te xing 	特性	c=3 d=1.9012 t=17193
te yi 	特意	c=1 d=0.677057 t=17193
te zheng 	特征	c=4 d=1.41656 t=17193
ti 	踢	c=1 d=0.995012 t=17193
ti 	题	c=8 d=4.83309 t=17193
ti cai 	题材	c=1 d=0.537944 t=17193
ti dai 	替代	c=4 d=3.08638 t=17193
ti du 	梯度	c=1 d=0.951229 t=17193
ti gong 	提供	c=4 d=2.06588 t=17193
ti gong le 	提供了	c=1 d=0.806541 t=17193
ti huan 	替换	c=5 d=4.05269 t=17193
ti huan wei 	替换为	c=1 d=0.97531 t=17193
ti hui dao 	体会到	c=2 d=1.34091 t=17193
ti jiao 	提交	c=4 d=2.72847 t=17193
ti mu 	题目	c=10 d=5.37827 t=17193
ti qian 	提前	c=1 d=0.767206 t=17193
ti qu 	提取	c=6 d=4.16537 t=17193
ti sheng 	提升	c=1 d=0.97531 t=17193
ti shi 	提示	c=1 d=0.891366 t=17193
ti xi 	体系	c=1 d=0.970446 t=17193
ti xian 	体现	c=2 d=1.28106 t=17193
ti xian le 	体现了	c=1 d=0.763379 t=17193
ti yan 	体验	c=1 d=0.955997 t=17193
ti yan le 	体验了	c=1 d=0.826959 t=17193
ti zi 	梯子	c=0 d=0.097531 t=17193
tian 	填	c=2 d=1.73488 t=17193
tian bu 	填补	c=1 d=0.755784 t=17193
tian guo 	天国	c=3 d=2.83006 t=17193
tian jia 	添加	c=13 d=5.78065 t=17193
tian jiang zhi wu 	天降之物	c=1 d=0.806541 t=17193
tian shi 	天使	c=1 d=0.957752 t=17193
tian tian 	天天	c=1 d=0.690734 t=17193
tian xia di 	天下第	c=0 d=0.0932394 t=17193
tian xia di er quan 	天下第二泉	c=1 d=0.937067 t=17193
tian xie 	填写	c=2 d=1.66024 t=17193
tian zhao 	天照	c=1 d=0.67368 t=17193
tian zhuan jia wa 	添砖加瓦	c=2 d=1.43171 t=17193
tiao 	条	c=1 d=0.798516 t=17193
tiao 	调	c=7 d=4.94925 t=17193
tiao 	跳	c=1 d=0.305746 t=17193
tiao cha bao gao 	调查报告	c=1 d=1 t=17193
tiao chu 	跳出	c=2 d=1.67972 t=17193
tiao dao 	调到	c=1 d=0.927743 t=17193
tiao de 	跳的	c=1 d=0.878095 t=17193
tiao dong 	跳动	c=1 d=0.900325 t=17193
tiao jian 	条件	c=4 d=2.43301 t=17193
tiao jie 	调节	c=4 d=2.86335 t=17193
tiao qu 	挑取	c=1 d=0.802519 t=17193
tiao xuan 	挑选	c=1 d=0.918512 t=17193
tiao yue 	跳跃	c=1 d=0.955997 t=17193
tiao zhan 	挑战	c=2 d=1.64334 t=17193
tiao zheng 	调整	c=14 d=8.83666 t=17193
tiao zhuan 	跳转	c=6 d=3.01203 t=17193
tiao zhuan dao 	跳转到	c=1 d=0.718924 t=17193
tie 	铁	c=1 d=0.97531 t=17193
tie ba 	贴吧	c=1 d=0.995012 t=17193
ting 	听	c=1 d=0.606531 t=17193
ting 	挺	c=4 d=2.11831 t=17193
ting bu 	听不	c=0 d=0.0806541 t=17193
ting bu dong 	听不动	c=1 d=0.810584 t=17193
ting bu tai dong 	听不太懂	c=1 d=0.860708 t=17193
ting hao de 	挺好的	c=1 d=0.591555 t=17193
ting jue 	听觉	c=1 d=0.519442 t=17193
ting le 	听了	c=1 d=0.637628 t=17193
ting ni 	听你	c=1 d=0.831104 t=17193
ting shuo 	听说	c=1 d=0.937067 t=17193
tong 	通	c=2 d=2.05784 t=17193
tong bi 	同比	c=2 d=1.58514 t=17193
tong bu 	同步	c=10 d=7.79587 t=17193
tong chang 	通常	c=1 d=0.66034 t=17193
tong chou 	统筹	c=1 d=0.965605 t=17193
tong guo 	通过	c=13 d=5.3098 t=17193
tong guo 	铜锅	c=1 d=0.99005 t=17193
tong ji 	统计	c=1 d=0.818731 t=17193
tong ku 	痛苦	c=4 d=1.91534 t=17193
tong kuan 	同款	c=1 d=0.571209 t=17193
tong li 	同理	c=1 d=0.946485 t=17193
tong qing 	同情	c=0 d=0.0980199 t=17193
tong qing le 	同情了	c=1 d=0.985112 t=17193
tong ren 	同人	c=1 d=0.960789 t=17193
tong ren tu 	同人图	c=3 d=2.07688 t=17193
tong shi 	同时	c=20 d=4.2021 t=17193
tong su 	通俗	c=1 d=0.980199 t=17193
tong xin 	通信	c=6 d=4.22352 t=17193
tong xin di zhi 	通信地址	c=2 d=1.54366 t=17193
tong xin yuan li 	通信原理	c=5 d=3.59505 t=17193
tong xiong 	同胸	c=1 d=0.937067 t=17193
tong xue 	同学	c=2 d=0.863432 t=17193
tong xue men 	同学们	c=1 d=0.744532 t=17193
tong xun 	通讯	c=3 d=2.15379 t=17193
tong yang 	同样	c=3 d=0.703819 t=17193
tong yang de 	同样的	c=2 d=0.726191 t=17193
tong yi 	统一	c=1 d=0.932394 t=17193
tong yong 	通用	c=3 d=2.08131 t=17193
tong zhen 	童真	c=1 d=0.786628 t=17193
tong zhi 	通知	c=3 d=2.13118 t=17193
tong zhi zhong 	通知中	c=1 d=0.918512 t=17193
tou di 	投递	c=1 d=0.909373 t=17193
tou ding 	头顶	c=1 d=0.946485 t=17193
tou ming 	透明	c=1 d=0.946485 t=17193
tou ming du 	透明度	c=2 d=1.90771 t=17193
tou ru 	投入	c=2 d=1.35628 t=17193
tou tou 	偷偷	c=1 d=0.995012 t=17193
tou xiang 	头像	c=1 d=0.970446 t=17193
tu 	图	c=13 d=6.85878 t=17193
tu an 	图案	c=1 d=0.733447 t=17193
tu biao 	图表	c=4 d=1.57455 t=17193
tu biao de 	图表的	c=1 d=0.519442 t=17193
tu cao 	吐槽	c=1 d=0.729789 t=17193
tu ji 	突击	c=1 d=0.423162 t=17193
tu ku 	图库	c=1 d=0.995012 t=17193
tu li 	图里	c=1 d=0.951229 t=17193
tu pian 	图片	c=6 d=4.40235 t=17193
tu ran 	突然	c=1 d=0.737123 t=17193
tu rang 	土壤	c=1 d=0.865022 t=17193
tu shang 	图上	c=1 d=0.484325 t=17193
tu shu guan 	图书馆	c=1 d=0.946485 t=17193
tu zeng 	徒增	c=1 d=0.995012 t=17193
tuan 	团	c=1 d=0.551563 t=17193
tuan jie 	团结	c=1 d=0.918512 t=17193
tui chu 	退出	c=5 d=3.25414 t=17193
tui chu dao 	退出到	c=1 d=0.932394 t=17193
tui dao 	推导	c=6 d=4.79301 t=17193
tui dong 	推动	c=3 d=1.64543 t=17193
tui jian 	推荐	c=11 d=6.19071 t=17193
tui jian le 	推荐了	c=1 d=0.970446 t=17193
tui jian ma 	推荐码	c=1 d=0.960789 t=17193
tui jian yi xie 	推荐一些	c=1 d=0.941765 t=17193
tui jian yong 	推荐用	c=1 d=0.941765 t=17193
tui jin 	推进	c=1 d=0.913931 t=17193
tui song 	推送	c=2 d=1.95556 t=17193
tui wo 	推我	c=1 d=0.955997 t=17193
tuo pan 	托盘	c=1 d=0.927743 t=17193
tuo yuan 	椭圆	c=1 d=0.904837 t=17193
wa 	哇	c=0 d=0.0960789 t=17193
wa jue 	挖掘	c=1 d=0.467666 t=17193
wa wa 	娃娃	c=2 d=1.44522 t=17193
wa zi 	袜子	c=2 d=1.88589 t=17193
wai 	外	c=4 d=2.00706 t=17193
wai di 	外地	c=1 d=0.822835 t=17193
wai jie 	外接	c=7 d=4.62169 t=17193
wai jie 	外界	c=8 d=4.95292 t=17193
wai jie ping mu 	外界屏幕	c=1 d=0.970446 t=17193
wai jie xian shi ping 	外界显示屏	c=1 d=0.891366 t=17193
wai lai 	外来	c=2 d=1.9605 t=17193
wai li 	外力	c=1 d=0.32628 t=17193
wai tao 	外套	c=1 d=0.995012 t=17193
wan 	万	c=1 d=0.882497 t=17193
wan 	完	c=4 d=2.11822 t=17193
wan 	玩	c=19 d=8.75963 t=17193
wan cheng 	完成	c=3 d=1.80764 t=17193
wan chu 	玩出	c=1 d=0.927743 t=17193
wan de 	玩得	c=1 d=0.970446 t=17193
wan dian 	晚点	c=1 d=0.955997 t=17193
wan fan 	晚饭	c=1 d=0.99005 t=17193
wan guo 	玩过	c=0 d=0.0965605 t=17193
wan guo de 	玩过的	c=1 d=0.970446 t=17193
wan hao 	完好	c=2 d=1.01051 t=17193
wan hou 	完后	c=2 d=1.76955 t=17193
wan jia 	玩家	c=1 d=0.748264 t=17193
wan jiu wan 	玩就玩	c=0 d=0.0995012 t=17193
wan ju 	玩具	c=1 d=0.726149 t=17193
wan le 	完了	c=1 d=0.937067 t=17193
wan le 	玩了	c=1 d=0.941765 t=17193
wan le yi bu 	晚了一步	c=1 d=1 t=17193
wan ma 	玩吗	c=1 d=0.794534 t=17193
wan mei 	完美	c=4 d=3.66329 t=17193
wan quan 	完全	c=3 d=1.70686 t=17193
wan shan 	完善	c=2 d=1.33042 t=17193
wan shang 	晚上	c=1 d=0.737123 t=17193
wan xing 	完型	c=1 d=0.677057 t=17193
wan zheng 	完整	c=3 d=2.40091 t=17193
wan zheng de 	完整的	c=1 d=0.960789 t=17193
wang 	往	c=4 d=3.39149 t=17193
wang 	王	c=2 d=1.99501 t=17193
wang 	网	c=1 d=0.927743 t=17193
wang ba 	网吧	c=1 d=0.786628 t=17193
wang bu liao 	忘不了	c=2 d=1.36705 t=17193
wang da 	王大	c=0 d=0.0392586 t=17193
wang da heng 	王大珩	c=1 d=0.394554 t=17193
wang ka 	网卡	c=12 d=10.3228 t=17193
wang ke 	网课	c=1 d=0.878095 t=17193
wang le 	忘了	c=2 d=1.30143 t=17193
wang luo 	网络	c=4 d=2.19618 t=17193
wang ning 	王宁	c=1 d=0.532592 t=17193
wang pan 	网盘	c=3 d=2.49487 t=17193
wang rui 	王瑞	c=1 d=0.319819 t=17193
wang wang 	往往	c=1 d=0.640824 t=17193
wang ye 	网页	c=5 d=4.40333 t=17193
wang ye ban 	网页版	c=1 d=0.755784 t=17193
wang yi yun 	网易云	c=5 d=4.75087 t=17193
wang you 	网游	c=1 d=0.955997 t=17193
wang zhan 	网站	c=3 d=2.89307 t=17193
wang zhi 	网址	c=2 d=1.85014 t=17193
wei 	为	c=45 d=10.4167 t=17193
wei 	位	c=1 d=0.600496 t=17193
wei 	味	c=1 d=0.481909 t=17193
wei 	微	c=1 d=0.615697 t=17193
wei 	未	c=1 d=0.995012 t=17193
wei ben 	为本	c=1 d=0.70822 t=17193
wei bo 	微博	c=1 d=0.946485 t=17193
wei bo 	微薄	c=2 d=1.36188 t=17193
wei da 	伟大	c=1 d=0.548438 t=17193
wei da bu xiu 	伟大不朽	c=1 d=0.904837 t=17193
wei dao 	味道	c=2 d=1.69475 t=17193
wei du 	维度	c=1 d=0.891366 t=17193
wei fen 	微分	c=2 d=1.32521 t=17193
wei fen fang cheng 	微分方程	c=1 d=0.755784 t=17193
wei ji fen 	微积分	c=1 d=0.985112 t=17193
wei jian 	未见	c=1 d=0.814647 t=17193
wei ju 	位居	c=1 d=0.960789 t=17193
wei lai 	未来	c=8 d=3.25989 t=17193
wei le 	为了	c=2 d=1.23489 t=17193
wei ni 	为你	c=5 d=2.45145 t=17193
wei rao 	围绕	c=1 d=0.88692 t=17193
wei rao 	微扰	c=1 d=0.891366 t=17193
wei rao lun 	微扰论	c=1 d=0.182684 t=17193
wei ruan 	微软	c=7 d=4.36236 t=17193
wei ruan zi ti 	微软字体	c=2 d=1.76946 t=17193
wei shen me 	为什么	c=46 d=13.5494 t=17193
wei wei dong ting 	娓娓动听	c=3 d=1 t=17193
wei xin 	微信	c=5 d=3.02529 t=17193
wei yi 	位移	c=1 d=0.474734 t=17193
wei yi 	唯一	c=3 d=1.83523 t=17193
wei yi xing 	唯一性	c=1 d=0.814647 t=17193
wei you 	唯有	c=1 d=0.557106 t=17193
wei you 	未有	c=1 d=0.559898 t=17193
wei yu 	卫浴	c=1 d=0.752014 t=17193
wei zhi 	位置	c=8 d=3.99509 t=17193
wei zhi hou 	位置后	c=1 d=0.839457 t=17193
wen 	文	c=1 d=0.837321 t=17193
wen 	问	c=3 d=1.4577 t=17193
wen ben 	文本	c=6 d=4.02546 t=17193
wen dang 	文档	c=3 d=2.51676 t=17193
wen de si 	文德斯	c=4 d=3.73216 t=17193
wen ding 	稳定	c=11 d=4.89278 t=17193
wen ding qiang 	稳定腔	c=1 d=0.843665 t=17193
wen hou 	问候	c=1 d=0.540641 t=17193
wen hua 	文化	c=36 d=10.5012 t=17193
wen hua bao hu 	文化保护	c=1 d=0.951229 t=17193
wen hua chan ye 	文化产业	c=1 d=0.650509 t=17193
wen hua chuang xin 	文化创新	c=1 d=0.946485 t=17193
wen hua zi xin 	文化自信	c=2 d=1.08721 t=17193
wen hua zuo pin 	文化作品	c=1 d=0.571209 t=17193
wen jian 	文件	c=73 d=16.6875 t=17193
wen jian guan li qi 	文件管理器	c=1 d=1 t=17193
wen jian jia 	文件夹	c=18 d=8.06798 t=17193
wen jian ming 	文件名	c=2 d=1.56835 t=17193
wen jian nei 	文件内	c=1 d=0.900325 t=17193
wen jian pai 	稳健派	c=1 d=0.831104 t=17193
wen jiao 	文教	c=1 d=0.644036 t=17193
wen juan diao cha 	问卷调查	c=2 d=0.971748 t=17193
wen juan diao cha fa 	问卷调查法	c=2 d=0.965605 t=17193
wen ming 	文明	c=2 d=1.58425 t=17193
wen ti 	问题	c=41 d=8.68192 t=17193
wen wen 	问问	c=1 d=0.748264 t=17193
wen wu 	文物	c=2 d=1.01351 t=17193
wen xian 	文献	c=1 d=0.722527 t=17193
wen xue 	文学	c=1 d=0.960789 t=17193
wen zhang 	文章	c=2 d=1.75343 t=17193
wen zi 	文字	c=6 d=3.34024 t=17193
wo 	我	c=85 d=11.5778 t=17193
wo an zhuang le 	我安装了	c=2 d=1.75208 t=17193
wo ba 	我把	c=1 d=0.909373 t=17193
wo ben shen 	我本身	c=1 d=0.597501 t=17193
wo bi xu 	我必须	c=1 d=0.603506 t=17193
wo bing mei you 	我并没有	c=1 d=0.744532 t=17193
wo bu 	我不	c=1 d=0.843665 t=17193
wo bu gai 	我不该	c=1 d=0.514274 t=17193
wo bu tai 	我不太	c=1 d=0.932394 t=17193
wo bu xiang yong 	我不想用	c=1 d=0.941765 t=17193
wo bu yong 	我不用	c=1 d=0.980199 t=17193
wo bu zhi dao 	我不知道	c=1 d=0.680451 t=17193
wo cai yong 	我才用	c=1 d=0.267135 t=17193
wo can kao xia 	我参考下	c=1 d=0.97531 t=17193
wo cong 	我从	c=1 d=0.657047 t=17193
wo da kai 	我打开	c=2 d=1.57516 t=17193
wo dang ran 	我当然	c=1 d=0.453845 t=17193
wo dang shi 	我当时	c=2 d=1.69475 t=17193
wo de 	我的	c=28 d=7.33175 t=17193
wo dian 	我点	c=1 d=0.774916 t=17193
wo dou 	我都	c=3 d=1.60501 t=17193
wo dou bu zhi dao 	我都不知道	c=1 d=0.985112 t=17193
wo dou wang le 	我都忘了	c=1 d=1 t=17193
wo dou xing 	我都行	c=1 d=0.960789 t=17193
wo dui 	我对	c=2 d=1.50688 t=17193
wo fa 	我发	c=1 d=0.774916 t=17193
wo fa de 	我发的	c=1 d=0.980199 t=17193
wo fa xian 	我发现	c=1 d=0.904837 t=17193
wo fu le 	我服了	c=1 d=0.960789 t=17193
wo fu mu 	我父母	c=1 d=0.918512 t=17193
wo gai 	我改	c=0 d=0.0847894 t=17193
wo gai 	我该	c=12 d=5.63413 t=17193
wo gai bu gai 	我该不该	c=1 d=0.955997 t=17193
wo gai cheng 	我改成	c=1 d=0.852144 t=17193
wo gai qu 	我该去	c=1 d=0.951229 t=17193
wo gai xuan 	我该选	c=1 d=0.995012 t=17193
wo gei ni 	我给你	c=1 d=0.941765 t=17193
